driverId,driver_name,code,forename,surname,nationality,year,constructorId,n_races,total_points,avg_points,avg_grid,avg_finish,best_finish,worst_finish,wins,podiums,podium_rate,win_rate,points_finishes,points_rate,top10_finishes,top10_rate,total_laps,avg_best_lap,avg_kph,avg_gap_to_winner,driver_speed,driver_vs_team_speed,finish_std,points_std,pos_change_std,avg_pos_change,dnf_count,dnf_rate,clean_race_rate,team_total_points,team_avg_points,team_avg_pos_season,team_speed,driver_vs_team_avg_finish,driver_vs_team_avg_points
842,Pierre Gasly,GAS,Pierre,Gasly,French,2024,214,24,40.0,1.6666666666666667,12.291666666666666,12.875,3,20,0,1,0.041666666666666664,0.0,9,0.375,9,0.375,1262,88.45909523809524,211.3837142857143,59.270818181818186,88.45909523809524,-0.2901373200442947,4.83027139394159,3.667325369028339,6.52697857169474,-0.5833333333333334,13,0.5416666666666666,0.45833333333333337,63.0,1.3125,13.3125,88.74923255813954,-0.4375,0.35416666666666674
844,Charles Leclerc,LEC,Charles,Leclerc,Monegasque,2019,6,21,264.0,12.571428571428571,4.285714285714286,5.571428571428571,1,20,2,10,0.47619047619047616,0.09523809523809523,18,0.8571428571428571,18,0.8571428571428571,1156,88.59552380952381,210.3845238095238,24.10264705882353,88.59552380952381,0.09657142857142276,5.51879904119935,6.8086079970242706,2.239260081876537,-1.2857142857142858,4,0.19047619047619047,0.8095238095238095,504.0,12.0,6.0,88.49895238095239,-0.4285714285714288,0.5714285714285712
844,Charles Leclerc,LEC,Charles,Leclerc,Monegasque,2020,6,17,98.0,5.764705882352941,8.470588235294118,9.882352941176471,2,20,0,2,0.11764705882352941,0.0,10,0.5882352941176471,10,0.5882352941176471,822,89.2105625,213.3390625,36.5009,89.2105625,1.1153125000000017,6.3529752177737215,6.290165059089326,5.958804657074812,-1.411764705882353,7,0.4117647058823529,0.5882352941176471,131.0,3.8529411764705883,10.705882352941176,88.09525,-0.8235294117647047,1.9117647058823528
844,Charles Leclerc,LEC,Charles,Leclerc,Monegasque,2021,6,22,159.0,7.2272727272727275,6.454545454545454,7.7272727272727275,2,20,0,1,0.045454545454545456,0.0,18,0.8181818181818182,18,0.8181818181818182,1145,86.18942105263157,216.2084210526316,43.6343125,86.18942105263157,0.3393960526315709,5.015991742434707,5.236609391779944,5.504818825631803,-1.2727272727272727,6,0.2727272727272727,0.7272727272727273,322.5,7.329545454545454,7.113636363636363,85.850025,0.6136363636363642,-0.10227272727272663
844,Charles Leclerc,LEC,Charles,Leclerc,Monegasque,2022,6,22,291.0,13.227272727272727,3.909090909090909,5.5,1,20,3,11,0.5,0.13636363636363635,19,0.8636363636363636,19,0.8636363636363636,1189,88.64059090909092,209.52518181818184,16.80242105263158,88.64059090909092,0.18021590909091856,5.869615059983146,7.708571717385648,8.033614444256148,-1.5909090909090908,3,0.13636363636363635,0.8636363636363636,519.0,11.795454545454545,6.681818181818182,88.460375,-1.1818181818181817,1.4318181818181817
844,Charles Leclerc,LEC,Charles,Leclerc,Monegasque,2023,6,22,185.0,8.409090909090908,4.863636363636363,8.227272727272727,2,20,0,6,0.2727272727272727,0.0,16,0.7272727272727273,16,0.7272727272727273,1147,88.31178947368421,211.73157894736843,32.791705882352936,88.31178947368421,0.10393947368422118,6.711268549322515,6.702231973000742,7.569018647753704,-3.3636363636363638,5,0.22727272727272727,0.7727272727272727,363.0,8.25,7.863636363636363,88.20785,0.3636363636363633,0.15909090909090828
844,Charles Leclerc,LEC,Charles,Leclerc,Monegasque,2024,6,24,327.0,13.625,5.416666666666667,4.541666666666667,1,19,3,13,0.5416666666666666,0.125,21,0.875,21,0.875,1413,88.19139130434783,214.95186956521738,21.01090909090909,88.19139130434783,0.08869565217391084,4.252663274647575,6.870304720790901,4.316928255741273,0.875,2,0.08333333333333333,0.9166666666666666,595.0,12.395833333333334,5.145833333333333,88.10269565217392,-0.6041666666666661,1.229166666666666
846,Lando Norris,NOR,Lando,Norris,British,2019,1,21,49.0,2.3333333333333335,9.333333333333334,11.333333333333334,6,20,0,0,0.0,0.0,11,0.5238095238095238,11,0.5238095238095238,1102,90.28552380952381,206.4367142857143,57.69875,90.28552380952381,0.7956457607433265,4.83045891539648,2.816617356570348,4.636809247747852,-2.0,13,0.6190476190476191,0.38095238095238093,145.0,3.4523809523809526,10.69047619047619,89.48987804878048,0.6428571428571441,-1.119047619047619
846,Lando Norris,NOR,Lando,Norris,British,2020,1,17,97.0,5.705882352941177,8.764705882352942,8.294117647058824,3,16,0,1,0.058823529411764705,0.0,13,0.7647058823529411,13,0.7647058823529411,1015,85.20617647058825,219.05747058823528,33.11966666666667,85.20617647058825,-0.5009172794117518,4.027479141509502,5.229300931797109,4.758119994530712,0.47058823529411764,5,0.29411764705882354,0.7058823529411764,202.0,5.9411764705882355,8.617647058823529,85.70709375,-0.32352941176470473,-0.23529411764705888
846,Lando Norris,NOR,Lando,Norris,British,2021,1,22,160.0,7.2727272727272725,6.863636363636363,7.0,2,15,0,4,0.18181818181818182,0.0,20,0.9090909090909091,20,0.9090909090909091,1223,85.49745,213.70659999999998,41.772600000000004,85.49745,-0.2462817073170669,3.532165125838609,5.708655234706733,3.979656057709302,-0.13636363636363635,7,0.3181818181818182,0.6818181818181819,274.0,6.2272727272727275,7.795454545454546,85.74373170731707,-0.7954545454545459,1.045454545454545
